Country,Happiness Rank,Happiness Score,Life Ladder,GDP Per Capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of Corruption,Confidence in national government,Healthcare Expenses(% of GDP),Population(100 Million),Investment,Political Rights,Civil Liberties,Life Expectancy,Beer Servings,Shots of Liquor,Wine Servings,Total Alcohol Consumption,Continent,Economic Freedom Score,Legal System Integrity,Inflation,Regulation,Defence Spending
Cambodia,145.0,3.819,3.8987069130000003,7.939874172000001,0.605528593,59.25999832,0.9555957909999999,0.245497048,0.890136123,0.82517308,7.26524264,0.15517635,1.700968602,6.0,5.0,68.65614634,57.0,65.0,1.0,2.2,Asia,6.92,,9.414,5.856615832999999,217305727.7
Cameroon,133.0,4.252,4.2446341510000005,8.013411522,0.74283731,49.09999847,0.766064227,-0.035121001,0.898028791,0.533314586,4.54202158,0.22834522,0.6940575566,6.0,6.0,55.93439024,147.0,1.0,4.0,5.8,Africa,6.05,3.333333333,9.412,6.655174112999999,354447463.1
Canada,5.0,7.4270000000000005,7.415144444,10.64052105,0.9481283429999999,72.51999664,0.9179611209999999,0.28257176300000003,0.46560183200000005,0.523448169,10.24045785,0.3584861,54.702381232,1.0,1.0,82.13763415,240.0,122.0,100.0,8.2,North America,7.99,9.166666667000001,9.696,8.748628303,20452107111.0
Chad,149.0,3.667,4.03297472,7.5821666720000005,0.672866464,45.74000168,0.562908113,-0.047020427999999996,0.884475827,0.30277133,3.57734906,0.14009413,0.6002197988,7.0,6.0,51.87331707,15.0,1.0,1.0,0.4,Africa,4.72,,7.196000000000001,5.081839145,0.0
Chile,27.0,6.67,6.599128723,9.967881203,0.8552355770000001,69.18000031,0.7336109279999999,0.18632897699999998,0.7821174259999999,0.34326779799999996,7.02092081,0.17762681,20.468714299,1.0,1.0,81.78756098,130.0,124.0,172.0,7.6,South America,7.81,7.5,9.398,7.431703781,5466101782.0
China,84.0,5.14,5.094917297,9.318813324,0.787818193,67.91999817,0.808255136,-0.200404897,,,4.549399,13.7122,242.0,7.0,6.0,75.98634146,79.0,192.0,8.0,5.0,Asia,6.37,5.833333333,9.47,6.224536421,157000000000.0
Colombia,33.0,6.477,6.374879837000001,9.379259109,0.914372623,66.13999939,0.8278681040000001,-0.013808967,0.868371546,0.35738286399999997,5.68462271,0.48228697,11.732167013,3.0,4.0,74.18202439,159.0,76.0,3.0,4.2,South America,6.72,3.333333333,9.363999999999999,7.431591382000001,11706271913.0
Comoros,140.0,3.9560000000000004,3.955640316,7.259981155,0.719217896,55.34000015,0.5340409279999999,-0.073209994,0.651009262,0.464862645,7.94528634,0.00777424,0.005146839506,3.0,4.0,63.55402439,1.0,3.0,1.0,0.1,Africa,,,,,0.0
Congo (Brazzaville),139.0,3.989,3.919341803,8.570007324,0.622330368,54.95999908,0.772510767,-0.147098094,0.7996537090000001,0.541932642,2.47433199,0.04995648,1.486178037,6.0,5.0,62.86765854,76.0,1.0,9.0,1.7,Africa,4.39,3.333333333,9.222000000000001,5.5212790929999995,
Congo (Kinshasa),120.0,4.5169999999999995,4.63922739,6.560744762000001,0.7695459720000001,50.77999878,0.557286203,-0.017429415,0.8074066040000001,0.43757021399999996,3.56752988,0.76196619,1.6735001,6.0,6.0,59.02390244,32.0,3.0,1.0,2.3,Africa,5.2,1.6666666669999999,8.056000000000001,5.269028829,
Costa Rica,12.0,7.226,7.272250175,9.538064002999999,0.902206898,70.09999847,0.92891407,0.048832808,0.794301391,0.280074805,7.75122422,0.04807852,3.145009998,1.0,1.0,79.58646341,149.0,87.0,11.0,4.4,North America,7.53,5.0,9.1,6.670394732999999,0.0
Croatia,62.0,5.7589999999999995,6.027634621,9.920677185,0.775817871,68.09999847,0.541909754,-0.244161829,0.923860013,0.311118603,7.78825844,0.04203604,0.1589687376,1.0,2.0,77.27560976,230.0,87.0,254.0,10.2,Europe,6.93,7.5,9.316,7.037759915,955320163.6
Cyprus,67.0,5.689,6.180507183,10.36377907,0.767177105,72.68000031,0.724629581,0.092312515,0.870691717,0.3364124,6.68578788,0.01160985,8.011131463,1.0,1.0,80.30709756,192.0,154.0,113.0,8.2,Europe,7.47,8.333333332999999,9.522,7.166137324,414496321.4
Czech Republic,31.0,6.505,6.334149361000001,10.25861073,0.91242677,68.37999725,0.739808738,-0.155507952,0.956799686,0.169811338,7.02843525,0.10546059,1.699914617,1.0,1.0,79.47317073,361.0,170.0,134.0,11.8,Europe,7.42,8.333333332999999,9.34,8.018554509,2220610395.0
Denmark,3.0,7.527,7.519909382000001,10.69957066,0.951437175,70.83999634,0.932627916,0.13419172199999999,0.187407613,0.534252763,10.24135399,0.05683483,1.88866782,1.0,1.0,81.1,224.0,81.0,278.0,10.4,Europe,7.56,10.0,9.517999999999999,8.236950013,4422458084.0
Dominican Republic,98.0,4.885,4.753311157,9.349662781000001,0.879158199,64.23999786,0.840129375,-0.062621355,0.727300286,0.43158412,5.88949284,0.10528394,2.2273,3.0,3.0,73.67668293,193.0,147.0,9.0,6.2,North America,7.03,4.166666667,9.262,5.996049705,396187178.6
Ecuador,48.0,5.975,5.960716248,9.242050171,0.785201013,67.12000275,0.8252751229999999,-0.08701530800000001,0.729978859,0.637234926,8.47968249,0.16144368,1.321508337,3.0,3.0,76.10292683,162.0,74.0,3.0,4.2,South America,6.03,4.166666667,8.98,6.329043313,2589776000.0
Egypt,135.0,4.194,4.204156876,9.192422867000001,0.736645103,60.31999969,0.45154336100000003,-0.144803181,0.880383074,0.601901174,,0.93778172,6.8848,6.0,5.0,71.31695122,6.0,4.0,1.0,0.2,Africa,6.14,5.0,8.576,4.84547475,4557748767.0
El Salvador,42.0,6.13,5.934371471,8.804447174,0.806014717,64.59999847,0.6827448009999999,-0.153194159,0.786294818,0.312310934,6.71873688,0.06312478,0.4969928141,2.0,3.0,73.00109756,52.0,69.0,2.0,2.2,North America,7.09,3.333333333,9.654,6.548218287999999,224300000.0
Estonia,73.0,5.428999999999999,5.363927841000001,10.15393448,0.889454544,67.22000122,0.696825743,-0.196030051,0.7928527,0.272975951,5.82746739,0.01315407,-0.6520141392000001,1.0,1.0,77.13170732,224.0,194.0,59.0,9.5,Europe,7.68,6.666666667,9.214,8.168021655,436852911.6
Ethiopia,122.0,4.512,4.561168671,7.1152372360000005,0.658794284,55.20000076,0.776308239,-0.036612075,,,4.5395958,0.99873033,2.1676,7.0,6.0,64.57804878,20.0,3.0,0.0,0.7,Africa,5.58,7.5,5.446000000000001,6.056356622000001,366539017.7
Finland,6.0,7.406000000000001,7.420209408,10.59445572,0.9277393820000001,70.87999725,0.920968115,-0.00570858,0.360733956,0.5979415770000001,9.29113662,0.05479531,16.938463412,1.0,1.0,81.38536585,263.0,133.0,97.0,10.0,Europe,7.81,10.0,9.437999999999999,7.932000541,3943239958.0
France,29.0,6.575,6.649365425,10.52749729,0.93709743,72.59999847,0.8413203359999999,-0.153478965,0.607905269,0.44062534,11.320896300000001,0.66624068,34.968752554,1.0,1.0,82.67073171,127.0,151.0,370.0,11.8,Europe,7.27,8.333333332999999,9.607999999999999,7.4954919460000005,60035153811.0
Gabon,143.0,3.8960000000000004,3.97205925,9.6902771,0.736096144,56.15999985,0.565965831,-0.211889133,0.8101196890000001,0.36471766200000005,2.42097557,0.01930175,0.6238904388,6.0,5.0,64.89034146,347.0,98.0,59.0,8.9,Africa,5.37,5.0,9.468,6.54277006,278143957.1
Georgia,130.0,4.297,4.254445553,8.972251892000001,0.532586455,64.91999817,0.65872401,-0.252974212,0.320887595,0.6108416320000001,8.37314174,0.037171,1.571048773,3.0,3.0,74.81741463,52.0,100.0,149.0,5.4,Europe,7.75,,9.812000000000001,8.235755763,491982529.4
Germany,26.0,6.75,6.7023620610000005,10.66480923,0.926406622,71.05999756,0.9044404629999999,0.066865228,0.67923671,0.5169281960000001,10.76729532,0.81686611,52.576912741,1.0,1.0,81.0902439,346.0,117.0,175.0,11.3,Europe,7.64,8.333333332999999,9.597999999999999,7.580292194,46470870905.0
Ghana,114.0,4.633,5.0572619439999995,8.1976614,0.68511188,54.86000061,0.679418445,0.046872314000000005,0.8978361490000001,0.576750815,5.51297119,0.27582821,3.192320531,1.0,2.0,61.49173171,31.0,3.0,10.0,1.8,Africa,6.44,4.166666667,8.168,6.253058778,337260972.7
Greece,102.0,4.857,5.0963540080000005,10.10087299,0.81214112,71.62000275,0.37261042,-0.306134254,0.958908975,0.126218989,8.88281165,0.10820883,1.140932302,2.0,2.0,81.58780488,133.0,112.0,218.0,8.3,Europe,6.67,7.5,9.7,5.717122922000001,5914988423.0
Guatemala,43.0,6.122999999999999,5.855717182,8.839147568,0.802148998,62.81999969,0.865472019,0.017802276000000002,0.8209239840000001,0.502455831,5.88481958,0.16252429,1.1755234,4.0,4.0,71.9564878,53.0,69.0,2.0,2.2,North America,7.41,3.3,9.244,6.741922959,224366543.6
Guinea,150.0,3.656,3.651554823,7.429018497,0.542295277,50.43999863,0.646187842,0.008407498000000001,0.794450223,0.557172477,3.50398284,0.12091533,0.085,5.0,5.0,59.19343902,9.0,0.0,2.0,0.2,Africa,,,6.955088503,,168913357.5
Haiti,119.0,4.518,4.4134750369999995,7.368234158,0.74866271,41.41999817,0.482485861,0.289213806,0.7171663640000001,0.367326528,9.64946914,0.10711061,0.10943,5.0,5.0,63.0737561,1.0,326.0,1.0,5.9,North America,6.0,2.5,8.744,6.766851933,0.0
Honduras,105.0,4.788,4.602218151000001,8.327683449,0.779194891,65.94000244,0.7004520890000001,0.00354071,0.8714371320000001,0.26335296,8.61853776,0.08960829,1.316679827,4.0,4.0,73.33312195,69.0,98.0,2.0,3.0,North America,7.16,2.5,8.96,6.652483582,212341274.3
Hong Kong S.A.R. of China,,,5.483764647999999,10.82731628,0.8264256720000001,75.28047943,0.879752457,0.211643279,0.379783154,0.49790594,,,,,,,,,,,,,,,,
Hungary,104.0,4.8,4.683358192,10.02491188,0.906113982,65.91999817,0.56923151,-0.142413616,0.930297315,0.209778264,7.46613865,0.09843028,-5.309180499,2.0,2.0,75.96097561,234.0,215.0,185.0,11.3,Europe,7.33,6.666666667,8.857999999999999,7.739611612000001,1322277703.0
Iceland,2.0,7.561,7.590660095,10.59492397,0.978965282,72.76000214,0.9046545029999999,0.239700317,0.7585856320000001,0.257335573,8.44292014,0.00330815,1.145752087,1.0,1.0,82.86097561,233.0,61.0,78.0,6.6,Europe,6.94,10.0,8.962,7.720718074,0.0
India,117.0,4.565,4.720146656,8.482096672,0.510574579,58.0,0.609320104,0.055298599999999996,0.829614758,0.539206505,3.32935296,13.0905398,44.00949213,2.0,3.0,68.34856098,9.0,114.0,0.0,2.2,Asia,6.54,6.666666667,8.138,6.6348591379999995,47216920048.0
Indonesia,74.0,5.399,5.36777401,9.132506371,0.8336211440000001,60.84000015,0.7703193429999999,0.342558473,0.96158886,0.672580957,2.90286671,2.58162113,19.779127977,2.0,4.0,69.07168293,5.0,1.0,0.0,0.1,Asia,6.84,5.0,9.144,6.3613477089999995,6531097955.0
Iran,110.0,4.686,4.608927727,9.718718529,0.599542618,64.37999725,0.764418423,,0.677707136,0.7185541990000001,6.63648596,0.79360487,2.05,6.0,6.0,75.59134146,0.0,0.0,0.0,0.0,Asia,4.96,6.666666667,0.0,4.435701251,16493963287.0
Iraq,112.0,4.677,4.659508705,9.590554237000001,0.730118215,59.11999893,0.314564615,-0.056442745,0.78919065,0.33984631299999996,2.69037065,0.36115649,3.3163,5.0,6.0,69.59026829,9.0,3.0,0.0,0.2,Asia,,,,,4141066054.0
Ireland,18.0,6.94,6.964645386,10.71382141,0.9617859129999999,71.69999695,0.90219456,0.29874143,0.572632253,0.34587270000000003,10.77223814,0.04676835,203.0,1.0,1.0,81.50243902,313.0,118.0,165.0,11.4,Europe,7.98,10.0,9.662,8.05773624,1157531730.0
Israel,11.0,7.278,7.110854626,10.32817173,0.9034155009999999,72.51999664,0.681439221,0.150700644,0.862327278,0.343569756,7.14195084,0.083801,11.5102,1.0,2.0,82.05121951,63.0,69.0,9.0,2.5,Asia,7.36,8.333333332999999,9.658,7.174538167000001,15567095862.0
Italy,50.0,5.9479999999999995,5.8393139839999995,10.46958542,0.86948663,72.87999725,0.570094943,0.110555314,0.9083236459999999,0.28069460399999996,8.95606116,0.60730582,13.005637733,1.0,1.0,83.4902439,85.0,42.0,237.0,6.5,Europe,7.22,6.666666667,9.392000000000001,7.468061209,29781008205.0
Japan,46.0,5.987,5.968216419,10.50143337,0.9052954320000001,74.16000366,0.752831519,,0.692387402,0.169178054,10.79065328,1.27141,5.585489706,1.0,1.0,83.84365854,77.0,202.0,16.0,7.0,Asia,7.66,8.333333332999999,9.994,7.966456308,60011530195.0
Jordan,82.0,5.192,5.131996155,9.101000786,0.8294963240000001,65.30000305,0.693142116,-0.15877798199999998,,,7.99453676,0.09159302,1.274788732,6.0,5.0,74.20334146,6.0,21.0,1.0,0.5,Asia,7.56,6.666666667,9.046,7.686703952,1472816901.0
Kazakhstan,54.0,5.855,5.759469509,9.998175621,0.8917166590000001,61.24000168,0.8398323059999999,-0.18164201100000002,0.876681805,0.726160645,3.08870056,0.17544126,6.58461453,6.0,5.0,72.0,124.0,246.0,12.0,6.8,Asia,7.14,5.833333333,8.978,7.936258324,2177543205.0
Kenya,125.0,4.419,4.547335148,7.864265442000001,0.83141011,56.61999893,0.627654195,0.080638863,0.911273062,0.40184477,5.61369749,0.47236259,1.437000004,4.0,4.0,62.13373171,58.0,22.0,2.0,1.8,Africa,7.09,3.333333333,8.124,7.471570162000001,840072590.0
Kosovo,69.0,5.5889999999999995,5.639588356,9.034389496000001,0.7571471329999999,63.57281876,0.635793388,0.020952613999999998,0.94965142,0.31239897,,0.018018,0.3432561408,3.0,4.0,71.34634146,,,,,,,,,,43390403.88
Kuwait,39.0,6.295,6.221094608,11.25955486,0.8889166709999999,65.19999695,0.934049547,,,,2.57378597,0.03935794,0.2846476238,5.0,5.0,74.69790244,0.0,0.0,0.0,0.0,Asia,6.93,8.333333332999999,9.434,7.4971106910000005,5941536637.0
Kyrgyzstan,77.0,5.2860000000000005,5.207785606,7.962011337000001,0.8561817409999999,61.93999863,0.7027316690000001,-0.057281565,0.892036796,0.513287067,8.5096633,0.059569,1.1392604,5.0,5.0,70.65121951,31.0,97.0,6.0,2.4,Asia,6.67,,9.462,6.330347044,
Laos,99.0,4.876,4.876084805,8.475143433,0.692627907,56.59999847,,0.233608022,,,2.07637582,0.06663967,1.079144682,7.0,6.0,66.53987805,62.0,0.0,123.0,6.2,Asia,,,,,
Latvia,89.0,5.098,5.125025272,9.944048882,0.8511952159999999,65.12000275,0.563811779,-0.04060765,0.894979358,0.191219807,5.42009358,0.01977527,0.7634044714,2.0,2.0,74.12439024,281.0,216.0,62.0,10.5,Europe,7.56,8.333333332999999,9.55,7.841037765,255740342.6
Lebanon,103.0,4.8389999999999995,4.572566986,9.619617462,0.712611496,65.36000061,0.620627165,-0.0045533679999999995,0.855777562,,7.99691287,0.05851479,2.341880814,5.0,4.0,79.62860976,20.0,55.0,31.0,1.9,Asia,6.96,6.666666667,9.04,5.940076774,1757213930.0
Libya,63.0,5.754,5.754394054,10.12488461,0.854930937,62.65999985,0.7115188840000001,-0.065152556,0.7905561329999999,,,0.06234955,0.725667,6.0,6.0,71.82631707,0.0,0.0,0.0,0.0,Africa,,,8.788039216,,2987413408.0
Lithuania,56.0,5.832999999999999,5.771037102,10.08786297,0.918690145,64.90000153,0.503027141,-0.277095586,0.956959248,0.145729542,6.28769059,0.0290491,0.970017859,1.0,1.0,75.1195122,343.0,244.0,56.0,12.9,Europe,7.52,6.666666667,8.634,7.651463462000001,328631681.6
Luxembourg,17.0,6.946000000000001,6.964097023,11.40205193,0.913907707,72.05999756,0.9165209529999999,0.053239107,0.402753204,0.7436705229999999,6.57173956,0.00569604,24.595772903,1.0,1.0,82.22926829,236.0,133.0,271.0,11.4,Europe,7.46,10.0,9.468,7.663719231,237503049.8
Macedonia,93.0,5.007,4.639647484,9.354412079,0.798305035,66.66000366,0.613055706,-0.08397294599999999,0.919845164,0.369646579,,0.02079308,0.29660420039999996,4.0,3.0,75.49534146,106.0,27.0,86.0,3.9,Europe,7.23,,9.336,8.31878688,
Madagascar,147.0,3.681,3.5506095889999996,7.2232594489999995,0.6730883120000001,56.63999939,0.487007886,-0.051045172,0.8535904879999999,0.35005539700000005,3.97327766,0.24234088,0.5174552393999999,3.0,4.0,65.48278049,26.0,15.0,4.0,0.8,Africa,6.48,4.166666667,8.728,6.061053959,68636017.8
Malawi,131.0,4.292,4.279269695,6.946744442000001,0.603725672,52.43999863,0.637362719,0.161339447,0.885784984,0.471810192,8.47896858,0.17573607,0.5186915269,3.0,3.0,63.79685366,8.0,11.0,1.0,1.5,Africa,6.18,4.2,5.746,6.581988966,46155953.69
Malaysia,61.0,5.77,5.914283752,10.02529716,0.841218948,65.91999817,0.8480718140000001,0.002716395,0.846618474,0.761775732,3.54644915,0.30723155,10.962721673,4.0,4.0,74.87517073,13.0,4.0,0.0,0.3,Asia,6.85,6.666666667,9.668,8.539585934,4507252007.0
Mali,138.0,3.995,4.313016891,7.498283862999999,0.823435068,49.11999893,0.7042192820000001,-0.085860699,0.786719501,0.48643791700000005,4.40167302,0.17467905,0.15294133059999998,5.0,4.0,58.45721951,5.0,1.0,1.0,0.6,Africa,5.99,5.0,8.914,6.745592904,148865779.9
Malta,37.0,6.3020000000000005,5.962872028,10.27958298,0.9217520359999999,71.83999634,0.860689878,0.34627047200000005,,0.498758078,8.99784541,0.00431874,2.921620673,1.0,1.0,81.94634146,149.0,100.0,120.0,6.6,Europe,7.63,8.333333332999999,9.516,7.632808721,49922008.91
Mauritania,124.0,4.436,4.673203945,8.149764061,0.763332725,55.13999939,0.487372756,-0.003726507,0.707005799,0.383974999,3.34404904,0.04182341,0.5017267657,6.0,5.0,63.20282927,0.0,0.0,0.0,0.0,Africa,5.68,4.1666669999999995,9.012,6.27573104,142299912.3
Mexico,14.0,7.187,7.320185184,9.704709053,0.767279446,66.86000061,0.7877683040000001,-0.095760457,0.633281112,0.3614088,5.66298734,1.25890949,33.181269654,3.0,3.0,76.92068293,238.0,68.0,5.0,5.5,North America,6.71,2.5,9.177999999999999,7.205626747,6978776719.0
Moldova,52.0,5.888999999999999,5.995712757000001,8.330985069,0.826219797,61.93999863,0.602418542,-0.002011025,0.955484569,0.21462217,10.92677155,0.03554108,0.23441,3.0,3.0,71.62643902,109.0,226.0,18.0,6.3,Europe,6.64,7.5,9.072000000000001,7.041541900000001,23870072.82
Mongolia,100.0,4.874,4.885150433,9.188996315,0.9185160990000001,60.79999924,0.688311696,0.09400819199999999,0.9323859809999999,0.310268313,3.5167032,0.02976877,0.09431976747,1.0,2.0,69.82126829,77.0,189.0,8.0,4.9,Asia,7.02,6.666666667,7.004,7.303741900000001,113622769.9
Montenegro,82.0,5.192,5.218724251,9.55154705,0.704032779,67.41999817,0.46170637,-0.191350937,0.755059719,0.355399817,,0.00622159,0.6997365111,3.0,3.0,76.33770732,31.0,114.0,128.0,4.9,Europe,7.25,,9.1692,7.734673314,67712201.3
Morocco,92.0,5.013,4.969656467,8.823402405,0.67582494,64.09999847,0.756784618,-0.197672457,0.8449347620000001,0.525867641,5.74942274,0.34803322,3.252913902,5.0,4.0,74.28931707,12.0,6.0,10.0,0.5,Africa,6.34,7.5,9.744,6.050246494,3402700836.0
Myanmar,129.0,4.3069999999999995,4.438939571000001,8.330550194,0.612249672,57.02000046,0.6910942790000001,0.624943197,0.694738686,,1.94540962,0.52403669,4.083839112,6.0,5.0,66.04207317,5.0,1.0,0.0,0.1,Asia,5.0,5.0,9.706,4.7443021839999995,2969236076.0
Nepal,121.0,4.513999999999999,4.233244896,7.651288509,0.733602345,59.59999847,0.637778401,0.07856758700000001,0.88349402,0.439799935,5.16786408,0.28656282,0.05189569993,3.0,4.0,69.97334146,5.0,6.0,0.0,0.2,Asia,6.12,,8.11,6.64132226,256686839.5
Netherlands,7.0,7.377999999999999,7.470715522999999,10.72351742,0.9388846759999999,71.63999939,0.8771186470000001,0.28282368199999997,0.433753788,0.574513912,10.90368046,0.16939923,130.0,1.0,1.0,81.70731707,251.0,88.0,190.0,9.4,Europe,7.54,10.0,9.51,7.974280135,10364720787.0
New Zealand,9.0,7.2860000000000005,7.249629973999999,10.41539097,0.9300286170000001,72.23999786,0.901853085,0.28298702800000003,0.28929793800000003,0.61469996,9.65239065,0.045957,-0.1351708387,1.0,1.0,81.45682927,203.0,79.0,175.0,9.3,Oceania,8.47,9.166666667000001,9.824,9.106324234,2094946041.0
Nicaragua,57.0,5.827999999999999,5.448006153,8.401390076,0.894054413,65.94000244,0.8503049020000001,0.018677294,0.643578768,0.5733956689999999,7.46630116,0.06082035,0.9499,4.0,3.0,75.09812195,78.0,118.0,1.0,3.5,North America,7.36,5.833333333,8.562000000000001,7.249531923999999,70132969.8
Niger,144.0,3.845,3.798088312,6.760259627999999,0.700107574,50.43999863,0.7344309090000001,-0.050190695,0.7773408890000001,0.534528375,5.84271168,0.19896965,0.5249792882,3.0,4.0,61.96902439,3.0,2.0,1.0,0.1,Africa,5.55,3.333333333,9.908,6.264050172,148865779.9
Nigeria,78.0,5.268,5.492954254,8.582878113,0.817579567,47.11999893,0.651688874,0.05498847,0.900431395,0.30356168699999997,3.33284386,1.81181744,3.128591679,4.0,5.0,53.04887805,42.0,5.0,2.0,9.1,Africa,6.22,3.333333333,7.556,6.973157924,2316478200.0
North Cyprus,,,5.463305472999999,,0.8711500759999999,,0.6925676470000001,,0.8547296520000001,0.414000452,,,,,,,,,,,,,,,,
